Batch,Measure Names,Provinsi,Achievement % Vaksin1,Divaksin 1,Target
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Nusa Tenggara Timur,4.72%,"113,655","2,408,586"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Papua,3.60%,"60,823","1,689,112"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Papua Barat,4.76%,"23,511","493,762"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Riau,7.85%,"271,031","3,451,350"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Barat,5.66%,"40,453","715,281"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Selatan,6.00%,"274,205","4,571,997"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Tengah,3.84%,"52,779","1,374,811"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Tenggara,6.84%,"87,626","1,281,431"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sulawesi Utara,14.94%,"203,115","1,359,120"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sumatera Barat,4.14%,"119,883","2,896,546"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sumatera Selatan,4.13%,"180,684","4,370,858"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Sumatera Utara,4.59%,"357,477","7,788,393"
MASYARAKAT UMUM & RENTAN,Vaksinasi Dosis 1,Yogyakarta,12.01%,"207,429","1,726,698"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Aceh,81.18%,"388,446","478,489"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Bali,480.18%,"1,624,892","338,389"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Bangka Belitung,130.18%,"116,608","89,573"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Banten,189.15%,"862,823","456,149"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Bengkulu,86.44%,"141,923","164,190"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Gorontalo,124.24%,"130,575","105,095"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jakarta Raya,136.15%,"2,699,507","1,982,757"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jambi,181.44%,"429,302","236,609"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jawa Barat,145.24%,"3,188,519","2,195,338"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jawa Tengah,113.79%,"2,519,945","2,214,636"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Jawa Timur,197.16%,"4,082,682","2,070,774"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Barat,118.48%,"345,540","291,654"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Selatan,94.17%,"301,151","319,779"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Tengah,134.44%,"267,510","198,975"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Timur,112.90%,"320,860","284,193"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kalimantan Utara,109.60%,"66,011","60,229"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Kepulauan Riau,410.94%,"529,678","128,893"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Lampung,88.72%,"363,607","409,854"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Maluku,82.69%,"144,459","174,705"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Maluku Utara,66.85%,"76,910","115,045"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Nusa Tenggara Barat,113.31%,"369,710","326,283"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Nusa Tenggara Timur,93.64%,"376,642","402,222"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Papua,89.72%,"260,123","289,919"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Papua Barat,91.15%,"106,032","116,328"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Riau,145.36%,"507,910","349,418"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Barat,110.78%,"123,678","111,643"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Selatan,137.57%,"955,401","694,477"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Tengah,89.79%,"202,268","225,263"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Tenggara,96.83%,"239,181","247,006"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sulawesi Utara,225.25%,"439,191","194,979"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sumatera Barat,104.98%,"420,200","400,274"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sumatera Selatan,139.34%,"612,372","439,477"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Sumatera Utara,134.10%,"1,179,775","879,798"
PETUGAS PUBLIK,Vaksinasi Dosis 1,Yogyakarta,177.38%,"593,785","334,754"
SDM KESEHATAN,Vaksinasi Dosis 1,Aceh,93.39%,"52,737","56,470"
SDM KESEHATAN,Vaksinasi Dosis 1,Bali,119.51%,"44,030","36,843"
SDM KESEHATAN,Vaksinasi Dosis 1,Bangka Belitung,102.18%,"11,341","11,099"
SDM KESEHATAN,Vaksinasi Dosis 1,Banten,112.16%,"51,109","45,566"
SDM KESEHATAN,Vaksinasi Dosis 1,Bengkulu,94.25%,"14,582","15,471"
SDM KESEHATAN,Vaksinasi Dosis 1,Gorontalo,91.73%,"7,860","8,569"
SDM KESEHATAN,Vaksinasi Dosis 1,Jakarta Raya,126.32%,"141,861","112,301"
SDM KESEHATAN,Vaksinasi Dosis 1,Jambi,97.03%,"23,010","23,714"
SDM KESEHATAN,Vaksinasi Dosis 1,Jawa Barat,108.25%,"196,692","181,701"
SDM KESEHATAN,Vaksinasi Dosis 1,Jawa Tengah,112.20%,"185,038","164,917"
SDM KESEHATAN,Vaksinasi Dosis 1,Jawa Timur,116.16%,"220,601","189,907"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Barat,115.58%,"28,918","25,020"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Selatan,101.94%,"27,091","26,575"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Tengah,104.35%,"20,794","19,927"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Timur,111.11%,"31,353","28,218"
SDM KESEHATAN,Vaksinasi Dosis 1,Kalimantan Utara,96.50%,"6,843","7,091"
SDM KESEHATAN,Vaksinasi Dosis 1,Kepulauan Riau,113.53%,"16,031","14,121"
SDM KESEHATAN,Vaksinasi Dosis 1,Lampung,101.73%,"36,218","35,601"
SDM KESEHATAN,Vaksinasi Dosis 1,Maluku,83.91%,"11,961","14,255"
SDM KESEHATAN,Vaksinasi Dosis 1,Maluku Utara,93.38%,"8,545","9,151"
SDM KESEHATAN,Vaksinasi Dosis 1,Nusa Tenggara Barat,102.64%,"28,369","27,638"
SDM KESEHATAN,Vaksinasi Dosis 1,Nusa Tenggara Timur,113.10%,"36,442","32,221"
SDM KESEHATAN,Vaksinasi Dosis 1,Papua,79.94%,"15,611","19,529"
SDM KESEHATAN,Vaksinasi Dosis 1,Papua Barat,97.23%,"8,327","8,564"
SDM KESEHATAN,Vaksinasi Dosis 1,Riau,108.58%,"35,749","32,923"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Barat,95.79%,"9,047","9,445"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Selatan,99.69%,"58,678","58,858"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Tengah,91.44%,"22,490","24,596"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Tenggara,101.44%,"20,731","20,436"
SDM KESEHATAN,Vaksinasi Dosis 1,Sulawesi Utara,108.94%,"23,730","21,782"
SDM KESEHATAN,Vaksinasi Dosis 1,Sumatera Barat,104.45%,"33,833","32,391"
SDM KESEHATAN,Vaksinasi Dosis 1,Sumatera Selatan,97.93%,"47,991","49,007"
SDM KESEHATAN,Vaksinasi Dosis 1,Sumatera Utara,107.37%,"76,295","71,058"
SDM KESEHATAN,Vaksinasi Dosis 1,Yogyakarta,113.98%,"38,524","33,799"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Aceh,0.13%,731,"577,015"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Bali,19.81%,"78,698","397,239"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Bangka Belitung,0.65%,980,"151,433"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Banten,3.01%,"36,327","1,207,002"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Bengkulu,0.24%,506,"206,643"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Gorontalo,0.14%,184,"127,071"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jakarta Raya,46.68%,"466,843","1,000,121"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jambi,1.35%,"4,916","364,233"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jawa Barat,0.56%,"27,222","4,867,047"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jawa Tengah,0.79%,"26,703","3,371,070"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Jawa Timur,1.41%,"50,640","3,586,141"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Barat,0.36%,"2,046","569,699"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Selatan,0.20%,806,"402,121"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Tengah,0.13%,361,"283,576"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Timur,0.37%,"1,454","397,462"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kalimantan Utara,0.25%,191,"77,891"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Kepulauan Riau,8.09%,"16,792","207,663"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Lampung,0.03%,251,"880,203"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Maluku,0.07%,146,"215,890"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Maluku Utara,0.05%,74,"145,842"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Nusa Tenggara Barat,0.18%,959,"533,491"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Nusa Tenggara Timur,0.16%,942,"582,844"
USIA 12 - 17 TAHUN,Vaksinasi Dosis 1,Papua,0.33%,"1,326","407,850"
