Persentase_total_vaksin1_pendidik,Persentase_total_vaksin2_pendidik,Divaksin 1,Divaksin 2,TARGET pendidik
,28.831587615,,"1,631,741","5,659,560"
38.650036399,,"2,187,422",,"5,659,560"
