Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Padang,Sumatera Barat,23.458640408,MultiPolygon,Divaksin 1,-0.997612252,100.372202426,"170,454","726,615","4,408,509"
Padang Lawas,Sumatera Utara,9.821767357,Polygon,Divaksin 1,1.154353646,99.802787217,"18,896","192,389","9,832,695"
Padang Lawas Utara,Sumatera Utara,17.900838098,Polygon,Divaksin 1,1.639420611,99.785423666,"34,281","191,505","11,419,559"
Padang Panjang,Sumatera Barat,43.948712130,Polygon,Divaksin 1,-0.467525014,100.401361077,"19,366","44,065","4,408,509"
Padang Pariaman,Sumatera Barat,7.330714040,Polygon,Divaksin 1,-0.563027713,100.246740193,"25,114","342,586","4,408,509"
Padangsidimpuan,Sumatera Utara,16.424911971,Polygon,Divaksin 1,1.374791787,99.299858069,"28,501","173,523","11,419,559"
Pagar Alam,Sumatera Selatan,14.878223429,Polygon,Divaksin 1,-4.071137265,103.302329883,"15,999","107,533","5,456,413"
Pakpak Barat,Sumatera Utara,51.187026452,Polygon,Divaksin 1,2.557229110,98.227668647,"19,254","37,615","11,419,559"
Palangka Raya,Kalimantan Tengah,40.832613454,Polygon,Divaksin 1,-1.958225613,113.779379824,"91,227","223,417","2,036,104"
Palembang,Sumatera Selatan,26.354133339,Polygon,Divaksin 1,-2.957107940,104.745032620,"327,015","1,240,849","6,303,096"
Palopo,Sulawesi Selatan,25.579997171,MultiPolygon,Divaksin 1,-2.975948918,120.168130024,"36,165","141,380","7,058,141"
Palu,Sulawesi Tengah,35.634102056,Polygon,Divaksin 1,-0.827827501,119.873170055,"94,595","265,462","2,135,907"
Pamekasan,Jawa Timur,8.561178520,MultiPolygon,Divaksin 1,-7.072636474,113.507265551,"55,889","652,819","31,826,206"
Pandeglang,Banten,7.375289696,MultiPolygon,Divaksin 1,-6.630053287,105.640295723,"72,462","982,497","9,229,383"
Pangkajene Dan Kepulauan,Sulawesi Selatan,13.056143371,MultiPolygon,Divaksin 1,-6.062808811,118.660784109,"34,736","266,051","7,058,141"
Pangkalpinang,Bangka Belitung,34.136918651,Polygon,Divaksin 1,-2.105883998,106.111675395,"57,788","169,283","1,137,824"
Paniai,Papua,2.354811361,Polygon,Divaksin 1,-3.782621110,136.324681694,"3,333","141,540","2,583,771"
Parepare,Sulawesi Selatan,30.195262874,MultiPolygon,Divaksin 1,-4.035375233,119.655207519,"34,701","114,922","7,058,141"
Pariaman,Sumatera Barat,14.688818919,MultiPolygon,Divaksin 1,-0.605715430,100.143222511,"10,963","74,635","4,408,509"
Parigi Moutong,Sulawesi Tengah,6.467044375,Polygon,Divaksin 1,-0.178688140,120.361098316,"20,900","323,177","1,821,298"
Pasaman,Sumatera Barat,9.785343875,Polygon,Divaksin 1,0.382861902,100.042198354,"23,021","235,260","4,408,509"
Pasaman Barat,Sumatera Barat,6.149287072,MultiPolygon,Divaksin 1,0.232927645,99.526803291,"20,481","333,063","4,408,509"
Paser,Kalimantan Timur,11.195415134,MultiPolygon,Divaksin 1,-1.818846367,115.940848066,"23,461","209,559","2,476,939"
Pasuruan,Jawa Timur,13.944105090,MultiPolygon,Divaksin 1,-7.700088798,112.865234907,"194,881","1,397,587","31,826,206"
Pati,Jawa Tengah,14.608857596,MultiPolygon,Divaksin 1,-6.747072303,111.056682503,"153,748","1,052,430","28,727,805"
Payakumbuh,Sumatera Barat,22.004070285,Polygon,Divaksin 1,-0.215267694,100.623429020,"24,219","110,066","4,408,509"
Pegunungan Bintang,Papua,5.524382098,Polygon,Divaksin 1,-4.095853212,140.235895975,"2,481","44,910","2,175,921"
Pekalongan,Jawa Tengah,13.628026617,MultiPolygon,Divaksin 1,-7.009207907,109.642668249,"134,412","986,291","28,727,805"
Pekanbaru,Riau,40.862536359,Polygon,Divaksin 1,0.546021085,101.446920236,"305,691","748,096","4,840,347"
Pelalawan,Riau,9.297180742,MultiPolygon,Divaksin 1,0.058332966,102.124179965,"26,560","285,678","4,840,347"
Pemalang,Jawa Tengah,12.002362783,Polygon,Divaksin 1,-7.052327028,109.395580463,"137,763","1,147,799","28,727,805"
Pematangsiantar,Sumatera Utara,21.423841526,Polygon,Divaksin 1,2.954236648,99.063835019,"45,618","212,931","11,419,559"
Penajam Paser Utara,Kalimantan Timur,15.008480414,Polygon,Divaksin 1,-1.204238580,116.681131655,"20,264","135,017","2,874,401"
Pesawaran,Lampung,6.131942405,MultiPolygon,Divaksin 1,-5.515479801,105.157313064,"21,302","347,394","6,645,226"
Pesisir Selatan,Sumatera Barat,7.329387535,MultiPolygon,Divaksin 1,-1.402683898,100.565929240,"29,324","400,088","4,408,509"
Pidie,Aceh,10.226025830,Polygon,Divaksin 1,5.235055974,95.926552066,"34,855","340,846","4,028,891"
Pidie Jaya,Aceh,10.768093695,Polygon,Divaksin 1,5.164253923,96.184097588,"13,258","123,123","4,028,891"
Pinrang,Sulawesi Selatan,16.032807991,MultiPolygon,Divaksin 1,-3.564285743,119.580548126,"50,061","312,241","7,058,141"
Pohuwato,Gorontalo,13.682378585,MultiPolygon,Divaksin 1,0.578320062,121.647682751,"15,881","116,069","938,409"
Polewali Mandar,Sulawesi Barat,16.525696250,MultiPolygon,Divaksin 1,-3.392691632,119.259364186,"61,154","370,054","1,089,240"
Ponorogo,Jawa Timur,12.217579707,Polygon,Divaksin 1,-7.970508236,111.511011360,"93,015","761,321","31,826,206"
Pontianak,Kalimantan Barat,30.723360179,MultiPolygon,Divaksin 1,0.265244540,109.167098692,"145,343","473,070","3,872,477"
Poso,Sulawesi Tengah,12.644730014,MultiPolygon,Divaksin 1,-1.480103471,120.519609089,"22,661","179,213","2,135,907"
Prabumulih,Sumatera Selatan,17.022650934,Polygon,Divaksin 1,-3.498337382,104.197383196,"23,718","139,332","6,303,096"
Pringsewu,Lampung,6.157233104,Polygon,Divaksin 1,-5.363951031,104.953429423,"18,431","299,339","6,645,226"
Probolinggo,Jawa Timur,25.022906299,MultiPolygon,Divaksin 1,-7.857821544,113.278593678,"268,458","1,072,849","31,826,206"
Pulang Pisau,Kalimantan Tengah,27.594270107,Polygon,Divaksin 1,-2.667199931,113.981312090,"28,086","101,782","2,036,104"
Pulau Morotai,Maluku Utara,8.917282352,MultiPolygon,Divaksin 1,2.307445993,128.364513502,"4,683","52,516","954,092"
Puncak,Papua,1.800750534,Polygon,Divaksin 1,-3.294219511,137.305569272,"1,358","75,413","2,175,921"
Puncak Jaya,Papua,1.566616912,Polygon,Divaksin 1,-3.513052230,137.969939301,"2,414","154,090","2,175,921"
Purbalingga,Jawa Tengah,10.639196757,Polygon,Divaksin 1,-7.310142071,109.404287045,"82,852","778,743","28,727,805"
Purwakarta,Jawa Barat,11.100870073,Polygon,Divaksin 1,-6.630457081,107.448874883,"86,235","776,831","37,907,814"
Purworejo,Jawa Tengah,13.451241200,MultiPolygon,Divaksin 1,-7.660188568,109.987488651,"82,824","615,735","28,727,805"
Raja Ampat,Papua Barat,20.086443277,MultiPolygon,Divaksin 1,-0.843297154,130.464569037,"8,644","43,034","797,402"
Rejang Lebong,Bengkulu,11.944772125,Polygon,Divaksin 1,-3.421835350,102.747387855,"26,023","217,861","1,553,792"
Rembang,Jawa Tengah,18.653494628,MultiPolygon,Divaksin 1,-6.787879896,111.417589676,"95,618","512,601","28,727,805"
Rokan Hilir,Riau,12.668728792,MultiPolygon,Divaksin 1,1.990471990,100.717182090,"60,780","479,764","4,840,347"
Rokan Hulu,Riau,9.883270299,MultiPolygon,Divaksin 1,1.087631647,100.267619338,"42,334","428,340","4,840,347"
Rote Ndao,Nusa Tenggara Timur,11.958941998,MultiPolygon,Divaksin 1,-10.697864025,123.167823589,"11,977","100,151","3,831,439"
Sabang,Aceh,23.157254060,MultiPolygon,Divaksin 1,5.852764043,95.298825588,"7,229","31,217","4,028,891"
Sabu Raijua,Nusa Tenggara Timur,12.853698145,MultiPolygon,Divaksin 1,-10.571716105,121.778114722,"7,836","60,963","3,831,439"
Salatiga,Jawa Tengah,68.266767983,Polygon,Divaksin 1,-7.337829634,110.500706642,"104,214","152,657","28,727,805"
Samarinda,Kalimantan Timur,17.836526421,Polygon,Divaksin 1,-0.510599824,117.195508671,"113,954","638,880","2,874,401"
Sambas,Kalimantan Barat,8.213857148,Polygon,Divaksin 1,1.400413755,109.251551405,"36,689","446,672","3,872,477"
Samosir,Sumatera Utara,23.136384958,MultiPolygon,Divaksin 1,2.566248365,98.761690327,"23,675","102,328","9,832,695"
Sampang,Jawa Timur,4.846091450,MultiPolygon,Divaksin 1,-7.076995190,113.238954008,"35,906","740,927","31,826,206"
Sanggau,Kalimantan Barat,9.058397077,Polygon,Divaksin 1,0.319392925,110.331973888,"31,737","350,360","3,872,477"
Sarmi,Papua,14.294277678,MultiPolygon,Divaksin 1,-2.417193738,139.039923431,"3,100","21,687","2,175,921"
Sarolangun,Jambi,14.390427294,Polygon,Divaksin 1,-2.377277477,102.678941338,"31,196","216,783","2,686,193"
Sawahlunto,Sumatera Barat,19.835923173,Polygon,Divaksin 1,-0.632272858,100.756677003,"10,276","51,805","4,408,509"
Sekadau,Kalimantan Barat,12.277725707,Polygon,Divaksin 1,0.106386231,111.050760543,"18,601","151,502","3,872,477"
Seluma,Bengkulu,11.718614826,Polygon,Divaksin 1,-4.063242842,102.744177559,"18,964","161,828","1,553,792"
Semarang,Jawa Tengah,39.020980462,MultiPolygon,Divaksin 1,-7.200570411,110.455680640,"833,446","2,135,892","28,727,805"
Seram Bagian Barat,Maluku,8.842660929,MultiPolygon,Divaksin 1,-3.075988855,128.088366291,"14,138","159,884","1,417,690"
Seram Bagian Timur,Maluku,5.179457678,MultiPolygon,Divaksin 1,-3.822317951,130.887225604,"5,312","102,559","1,201,800"
Serang,Banten,12.286966229,MultiPolygon,Divaksin 1,-6.113313850,106.152926887,"219,364","1,785,339","9,229,383"
Serdang Bedagai,Sumatera Utara,18.188112389,Polygon,Divaksin 1,3.406531969,99.019175692,"91,681","504,071","9,832,695"
Seruyan,Kalimantan Tengah,19.896763233,Polygon,Divaksin 1,-2.370157423,112.118367807,"24,361","122,437","2,036,104"
Siak,Riau,13.874505291,Polygon,Divaksin 1,0.794583008,101.850571565,"47,748","344,142","4,840,347"
Siau Tagulandang Biaro,Sulawesi Utara,33.419490877,MultiPolygon,Divaksin 1,2.247978626,125.378162496,"19,653","58,807","1,835,346"
Sibolga,Sumatera Utara,41.709349327,MultiPolygon,Divaksin 1,1.728254591,98.782524248,"28,583","68,529","11,419,559"
Sidenreng Rappang,Sulawesi Selatan,12.550943457,Polygon,Divaksin 1,-3.844495331,119.919113232,"31,289","249,296","7,058,141"
Sidoarjo,Jawa Timur,28.324533560,Polygon,Divaksin 1,-7.438460725,112.709410749,"457,335","1,614,625","31,826,206"
Sigi,Sulawesi Tengah,8.003698257,Polygon,Divaksin 1,-1.574032381,119.968358008,"14,803","184,952","2,135,907"
Sijunjung,Sumatera Barat,13.909599758,Polygon,Divaksin 1,-0.608436420,101.018152214,"25,745","185,088","4,408,509"
Sikka,Nusa Tenggara Timur,9.697470758,MultiPolygon,Divaksin 1,-8.554192261,122.272897479,"22,169","228,606","3,831,439"
Simalungun,Sumatera Utara,9.126264330,MultiPolygon,Divaksin 1,3.035652771,99.118790320,"71,948","788,362","11,419,559"
Simeulue,Aceh,9.722241637,MultiPolygon,Divaksin 1,2.615352835,96.149264433,"6,955","71,537","4,028,891"
Singkawang,Kalimantan Barat,19.617494620,Polygon,Divaksin 1,0.932717411,109.045880345,"32,362","164,965","3,872,477"
Sinjai,Sulawesi Selatan,17.599406895,MultiPolygon,Divaksin 1,-5.214317440,120.180565221,"35,608","202,325","7,058,141"
Sintang,Kalimantan Barat,15.197429910,Polygon,Divaksin 1,0.183632158,111.832882694,"45,366","298,511","3,872,477"
Situbondo,Jawa Timur,10.003209898,Polygon,Divaksin 1,-7.805898017,113.972490495,"54,848","548,304","31,826,206"
Sleman,Yogyakarta,36.077744269,Polygon,Divaksin 1,-7.733369253,110.394506674,"316,895","878,367","2,879,699"
Solok,Sumatera Barat,13.164608440,MultiPolygon,Divaksin 1,-0.858258788,100.725690645,"48,557","368,845","4,408,509"
Solok Selatan,Sumatera Barat,11.992553280,Polygon,Divaksin 1,-1.395309682,101.286876511,"17,264","143,956","4,408,509"
Soppeng,Sulawesi Selatan,28.715145174,Polygon,Divaksin 1,-4.299525234,119.925090718,"54,889","191,150","7,058,141"
Sorong,Papua Barat,16.920594964,MultiPolygon,Divaksin 1,-0.967502659,131.310099458,"48,666","287,614","797,402"
Sorong Selatan,Papua Barat,13.955540846,Polygon,Divaksin 1,-1.732633603,132.031329780,"5,060","36,258","797,402"
Sragen,Jawa Tengah,11.369677251,MultiPolygon,Divaksin 1,-7.343777132,110.905628961,"88,203","775,774","28,727,805"
Subang,Jawa Barat,13.523119766,MultiPolygon,Divaksin 1,-6.464821866,107.701066865,"173,799","1,285,199","37,907,814"
Subulussalam,Aceh,13.359016918,Polygon,Divaksin 1,2.761518860,97.933453974,"8,773","65,671","4,028,891"
Sukabumi,Jawa Barat,13.492011383,MultiPolygon,Divaksin 1,-7.029457500,106.790757773,"324,675","2,406,424","37,907,814"
Sukamara,Kalimantan Tengah,36.387255004,Polygon,Divaksin 1,-2.777110961,111.072526998,"17,507","48,113","2,036,104"
Sukoharjo,Jawa Tengah,16.264584844,Polygon,Divaksin 1,-7.679572732,110.814287377,"117,065","719,754","28,727,805"
Sumba Barat,Nusa Tenggara Timur,16.203010872,Polygon,Divaksin 1,-9.649711627,119.367602748,"16,349","100,901","3,831,439"
Sumba Barat Daya,Nusa Tenggara Timur,8.796527700,Polygon,Divaksin 1,-9.557710077,119.170195348,"17,247","196,066","3,831,439"
Sumba Tengah,Nusa Tenggara Timur,13.165116239,Polygon,Divaksin 1,-9.582047464,119.664832861,"7,628","57,941","3,248,595"
Sumba Timur,Nusa Tenggara Timur,12.207841352,MultiPolygon,Divaksin 1,-9.867611324,120.165431830,"20,647","169,129","3,831,439"
Sumbawa,Nusa Tenggara Barat,11.156284775,MultiPolygon,Divaksin 1,-8.611590620,117.519627535,"43,109","386,410","3,910,638"
Sumbawa Barat,Nusa Tenggara Barat,19.961199362,MultiPolygon,Divaksin 1,-8.844274099,116.895163161,"20,784","104,122","3,910,638"
Sumedang,Jawa Barat,11.844129116,Polygon,Divaksin 1,-6.834911335,107.989215613,"109,345","923,200","37,907,814"
Sumenep,Jawa Timur,8.310982719,MultiPolygon,Divaksin 1,-6.946791110,115.048747109,"74,772","899,677","31,826,206"
Sungai Penuh,Jambi,24.707793494,Polygon,Divaksin 1,-2.103320930,101.365311571,"18,708","75,717","2,686,193"
Supiori,Papua,12.191103789,MultiPolygon,Divaksin 1,-0.750116771,135.520659608,"1,406","11,533","2,175,921"
Surabaya,Jawa Timur,65.611028434,MultiPolygon,Divaksin 1,-7.277479894,112.727243858,"1,455,332","2,218,121","31,826,206"
Surakarta,Jawa Tengah,64.099810380,Polygon,Divaksin 1,-7.558203046,110.817990942,"267,393","417,151","28,727,805"
Tabalong,Kalimantan Selatan,15.738307395,Polygon,Divaksin 1,-1.853716763,115.518972390,"30,662","194,824","3,161,137"
Tabanan,Bali,88.386664817,Polygon,Divaksin 1,-8.445492856,115.069701528,"331,351","374,888","3,405,130"
Takalar,Sulawesi Selatan,17.846235157,MultiPolygon,Divaksin 1,-5.416273842,119.452433899,"41,195","230,833","7,058,141"
Tambrauw,Papua Barat,2.968367398,Polygon,Divaksin 1,-0.714718366,132.516186346,594,"20,011","669,488"
Tana Tidung,Kalimantan Timur,,MultiPolygon,Divaksin 1,3.592682702,117.397227551,,,
Tana Toraja,Sulawesi Selatan,21.108812504,Polygon,Divaksin 1,-3.107985520,119.708108014,"47,243","223,807","7,058,141"
Tanah Bumbu,Kalimantan Selatan,10.145320804,MultiPolygon,Divaksin 1,-3.358586037,115.783705621,"24,302","239,539","3,161,137"
Tanah Datar,Sumatera Barat,11.460013189,Polygon,Divaksin 1,-0.451946444,100.600951157,"35,105","306,326","4,408,509"
Tanah Laut,Kalimantan Selatan,8.457392625,Polygon,Divaksin 1,-3.729796315,114.878902933,"22,832","269,965","3,161,137"
Tangerang,Banten,20.921233670,MultiPolygon,Divaksin 1,-6.197861767,106.552883855,"835,547","3,993,775","9,229,383"
Tangerang Selatan,Banten,28.072537470,Polygon,Divaksin 1,-6.290757270,106.733550797,"301,293","1,073,266","9,229,383"
Tanggamus,Lampung,6.609613289,MultiPolygon,Divaksin 1,-5.618835295,104.706658638,"31,179","471,722","6,645,226"
Tanjung Jabung B,Jambi,18.471935345,Polygon,Divaksin 1,-1.113767972,103.163631388,"44,089","238,681","2,686,193"
Tanjung Jabung T,Jambi,19.244873396,MultiPolygon,Divaksin 1,-1.122058570,103.821170449,"34,217","177,798","2,686,193"
Tanjungpinang,Kepulauan Riau,68.017749817,MultiPolygon,Divaksin 1,0.930398143,104.457547068,"121,092","178,030","1,581,035"
Tapanuli Selatan,Sumatera Utara,13.057464542,MultiPolygon,Divaksin 1,1.502818125,99.274587722,"29,469","225,687","11,419,559"
Tapanuli Tengah,Sumatera Utara,8.858195601,MultiPolygon,Divaksin 1,1.637585712,98.836489295,"25,147","283,884","9,832,695"
Tapanuli Utara,Sumatera Utara,19.602506730,MultiPolygon,Divaksin 1,1.982206198,99.192102657,"46,169","235,526","11,419,559"
Tapin,Kalimantan Selatan,11.100513023,Polygon,Divaksin 1,-2.916449370,115.124870703,"16,293","146,777","3,161,137"
Tarakan,Kalimantan Timur,,MultiPolygon,Divaksin 1,3.356720785,117.548144627,,,
Tasikmalaya,Jawa Barat,9.917305182,MultiPolygon,Divaksin 1,-7.395543348,108.193311360,"202,496","2,041,845","37,907,814"
Tebingtinggi,Sumatera Utara,13.144383906,Polygon,Divaksin 1,3.322935177,99.153944072,"17,563","133,616","9,832,695"
Tebo,Jambi,20.009705850,Polygon,Divaksin 1,-1.350862035,102.334471703,"51,128","255,516","2,686,193"
Tegal,Jawa Tengah,13.812895277,MultiPolygon,Divaksin 1,-7.017266164,109.158099246,"198,880","1,439,814","28,727,805"
Teluk Bintuni,Papua Barat,16.808969939,MultiPolygon,Divaksin 1,-2.259311604,133.558725372,"10,434","62,074","797,402"
Teluk Wondama,Papua Barat,21.226465842,MultiPolygon,Divaksin 1,-2.313049185,134.338117025,"5,919","27,885","797,402"
Temanggung,Jawa Tengah,13.323381586,Polygon,Divaksin 1,-7.226341341,110.153014948,"83,184","624,346","28,727,805"
Ternate,Maluku Utara,16.923442043,MultiPolygon,Divaksin 1,0.783794984,127.165975086,"25,671","151,689","954,092"
Tidore Kepulauan,Maluku Utara,13.220148053,MultiPolygon,Divaksin 1,0.424798533,127.625342494,"11,501","86,996","954,092"
Timor Tengah Selatan,Nusa Tenggara Timur,8.284942768,Polygon,Divaksin 1,-9.680385982,124.374782122,"27,736","334,776","3,248,595"
Timor Tengah Utara,Nusa Tenggara Timur,9.223110672,Polygon,Divaksin 1,-9.383604462,124.429060757,"17,175","186,217","3,831,439"
Toba Samosir,Sumatera Utara,14.599522298,Polygon,Divaksin 1,2.430941858,99.304165709,"22,677","155,327","11,419,559"
Tojo Una-Una,Sulawesi Tengah,8.571753250,MultiPolygon,Divaksin 1,-0.608905856,121.826965396,"9,806","114,399","2,135,907"
Toli-Toli,Sulawesi Tengah,13.773174495,MultiPolygon,Divaksin 1,0.923253404,120.605075460,"21,782","158,148","1,821,298"
Tolikara,Papua,0.952242495,Polygon,Divaksin 1,-3.507317690,138.330667037,"1,572","165,084","2,175,921"
Tomohon,Sulawesi Utara,61.276006931,Polygon,Divaksin 1,1.332566315,124.824281364,"49,155","80,219","2,080,685"
Toraja Utara,Sulawesi Selatan,12.570539409,Polygon,Divaksin 1,-2.915244754,119.855060476,"24,882","197,939","7,058,141"
Trenggalek,Jawa Timur,12.722866153,MultiPolygon,Divaksin 1,-8.220382777,111.614686963,"74,071","582,188","31,826,206"
Tual,Maluku,8.324129512,MultiPolygon,Divaksin 1,-5.595329937,132.590303405,"5,728","68,812","1,201,800"
Tuban,Jawa Timur,14.466210158,MultiPolygon,Divaksin 1,-6.949266410,111.880067787,"136,811","945,728","31,826,206"
Tulang Bawang Barat,Lampung,5.105105105,Polygon,Divaksin 1,-4.406635917,105.090425037,"10,727","210,123","5,765,023"
Tulangbawang,Lampung,8.685733666,Polygon,Divaksin 1,-4.503233765,105.487454395,"27,147","312,547","5,765,023"
Tulungagung,Jawa Timur,22.679697396,MultiPolygon,Divaksin 1,-8.123010498,111.869063818,"195,885","863,702","31,826,206"
Waduk Cirata,Jawa Barat,,Polygon,Divaksin 1,-6.748570027,107.302066263,,,
Waduk Kedungombo,Jawa Tengah,,MultiPolygon,Divaksin 1,-7.289615217,110.818305383,,,
Wajo,Sulawesi Selatan,19.697886402,Polygon,Divaksin 1,-4.021313952,120.187260027,"59,254","300,814","7,058,141"
Wakatobi,Sulawesi Tenggara,10.706806586,MultiPolygon,Divaksin 1,-5.561726143,123.809631522,"9,254","86,431","2,002,579"
Waropen,Papua,6.638542216,MultiPolygon,Divaksin 1,-2.556750713,136.619368120,"1,133","17,067","2,583,771"
Way Kanan,Lampung,6.460034634,MultiPolygon,Divaksin 1,-4.540827100,104.584285106,"22,047","341,283","6,645,226"
Wonogiri,Jawa Tengah,10.696150237,Polygon,Divaksin 1,-7.898856786,111.029708482,"91,523","855,663","28,727,805"
Wonosobo,Jawa Tengah,11.136610561,Polygon,Divaksin 1,-7.426250616,109.901022822,"76,672","688,468","28,727,805"
Yahukimo,Papua,0.957482672,Polygon,Divaksin 1,-4.083221146,140.004083349,"2,329","243,242","2,583,771"
Yalimo,Papua,1.287471483,Polygon,Divaksin 1,-3.665426193,139.501459439,807,"62,681","2,175,921"
