Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Kepulauan Sula,Maluku Utara,7.778051404,MultiPolygon,Divaksin 1,-1.862842559,125.114008595,"6,001","77,153","808,250"
Kepulauan Talaud,Sulawesi Utara,30.142779494,MultiPolygon,Divaksin 1,4.246412450,126.807348967,"22,737","75,431","2,080,685"
Kepulauan Yapen,Papua,11.878386027,MultiPolygon,Divaksin 1,-1.734079641,135.942078891,"7,345","61,835","2,583,771"
Kerinci,Jambi,16.771119045,Polygon,Divaksin 1,-2.138653265,101.641225466,"32,835","195,783","2,686,193"
Ketapang,Kalimantan Barat,8.476309949,MultiPolygon,Divaksin 1,-1.978023262,110.356585184,"35,136","414,520","3,872,477"
Klaten,Jawa Tengah,12.464709681,Polygon,Divaksin 1,-7.675367671,110.611234180,"125,476","1,006,650","28,727,805"
Klungkung,Bali,88.136583685,MultiPolygon,Divaksin 1,-8.632980770,115.459364533,"143,281","162,567","3,405,130"
Kolaka,Sulawesi Tenggara,19.314967647,MultiPolygon,Divaksin 1,-4.090605236,121.507207076,"34,895","180,663","1,706,169"
Kolaka Utara,Sulawesi Tenggara,15.648205301,MultiPolygon,Divaksin 1,-3.112620156,121.103491628,"16,732","106,926","2,002,579"
Konawe,Sulawesi Tenggara,13.806264344,MultiPolygon,Divaksin 1,-3.714066772,122.199199817,"27,492","199,127","1,706,169"
Konawe Selatan,Sulawesi Tenggara,15.199641815,MultiPolygon,Divaksin 1,-4.242487698,122.626507720,"35,985","236,749","2,002,579"
Konawe Utara,Sulawesi Tenggara,31.262980912,MultiPolygon,Divaksin 1,-3.454848051,122.269759775,"15,805","50,555","2,002,579"
Kota Baru,Kalimantan Selatan,7.959274437,MultiPolygon,Divaksin 1,-3.097712707,116.160042767,"20,044","251,832","3,161,137"
Kota Binjai,Sumatera Utara,17.138608313,MultiPolygon,Divaksin 1,3.585099367,98.480501761,"38,839","226,617","11,419,559"
