Day of Tanggal,drilldownGeographic,Persentase_total_vaksin1_pendidik,Persentase_total_vaksin1_pendidik_kumulatif,Running Sum of TotalDivaksin1PerProvinsi/1000,Running Sum of Divaksin 1,Divaksin 1
"July 4, 2021",Aceh,0.032159339,8.840602237,16.494,"16,494",60
"April 20, 2021",Aceh,0.036983240,0.309265641,0.577,577,69
"April 9, 2021",Aceh,0.038591207,0.233155206,0.435,435,72
"June 2, 2021",Aceh,0.039663185,0.782543911,1.46,"1,460",74
"July 19, 2021",Aceh,0.040199174,11.423533132,21.313,"21,313",75
"June 13, 2021",Aceh,0.048774997,4.954682132,9.244,"9,244",91
"May 25, 2021",Aceh,0.053598898,0.535988980,1,"1,000",100
"July 29, 2021",Aceh,0.055742854,12.043136393,22.469,"22,469",104
"July 22, 2021",Aceh,0.056278843,11.504467468,21.464,"21,464",105
"July 25, 2021",Aceh,0.057886810,11.724758939,21.875,"21,875",108
"July 23, 2021",Aceh,0.064318678,11.568786146,21.584,"21,584",120
"July 26, 2021",Aceh,0.078254391,11.803013330,22.021,"22,021",146
"June 29, 2021",Aceh,0.085222248,8.097721511,15.108,"15,108",159
"June 18, 2021",Aceh,0.087902193,6.286614747,11.729,"11,729",164
"July 27, 2021",Aceh,0.090582138,11.893595468,22.19,"22,190",169
"July 28, 2021",Aceh,0.093798072,11.987393539,22.365,"22,365",175
"July 24, 2021",Aceh,0.098085983,11.666872129,21.767,"21,767",183
"July 3, 2021",Aceh,0.100765928,8.808442898,16.434,"16,434",188
"June 12, 2021",Aceh,0.106125818,4.905907135,9.153,"9,153",198
"July 17, 2021",Aceh,0.108805763,11.358142477,21.191,"21,191",203
"July 10, 2021",Aceh,0.117917576,9.900788440,18.472,"18,472",220
"June 25, 2021",Aceh,0.123813454,7.457214680,13.913,"13,913",231
"July 9, 2021",Aceh,0.145789003,9.782870864,18.252,"18,252",272
"July 2, 2021",Aceh,0.146860981,8.707676970,16.246,"16,246",274
"June 28, 2021",Aceh,0.153292848,8.012499263,14.949,"14,949",286
"June 6, 2021",Aceh,0.155436804,1.664245783,3.105,"3,105",290
"June 30, 2021",Aceh,0.167764551,8.265486062,15.421,"15,421",313
"May 27, 2021",Aceh,0.173124441,0.709113421,1.323,"1,323",323
"June 22, 2021",Aceh,0.180092297,6.707366097,12.514,"12,514",336
"July 7, 2021",Aceh,0.188668121,9.431798082,17.597,"17,597",352
"July 5, 2021",Aceh,0.190812077,9.031414314,16.85,"16,850",356
"June 21, 2021",Aceh,0.193492022,6.527273799,12.178,"12,178",361
"June 4, 2021",Aceh,0.198315923,1.202759271,2.244,"2,244",370
"June 16, 2021",Aceh,0.203139823,5.943581800,11.089,"11,089",379
"July 8, 2021",Aceh,0.205283779,9.637081862,17.98,"17,980",383
"July 6, 2021",Aceh,0.211715647,9.243129961,17.245,"17,245",395
"June 3, 2021",Aceh,0.221899438,1.004443349,1.874,"1,874",414
"June 24, 2021",Aceh,0.232083228,7.333401225,13.682,"13,682",433
"July 12, 2021",Aceh,0.240123063,10.155919194,18.948,"18,948",448
"July 16, 2021",Aceh,0.243338997,11.249336714,20.988,"20,988",454
"June 17, 2021",Aceh,0.255130755,6.198712554,11.565,"11,565",476
"June 15, 2021",Aceh,0.256738721,5.740441977,10.71,"10,710",479
"July 15, 2021",Aceh,0.279786248,11.005997717,20.534,"20,534",522
"July 13, 2021",Aceh,0.280322237,10.436241431,19.471,"19,471",523
"July 14, 2021",Aceh,0.289970038,10.726211469,20.012,"20,012",541
"July 1, 2021",Aceh,0.295329928,8.560815990,15.972,"15,972",551
"June 5, 2021",Aceh,0.306049708,1.508808979,2.815,"2,815",571
"June 26, 2021",Aceh,0.390735966,7.847950646,14.642,"14,642",729
"June 23, 2021",Aceh,0.393951900,7.101317997,13.249,"13,249",735
"June 10, 2021",Aceh,0.398775801,4.286839863,7.998,"7,998",744
"June 9, 2021",Aceh,0.447014809,3.888064061,7.254,"7,254",834
"June 11, 2021",Aceh,0.512941454,4.799781316,8.955,"8,955",957
"June 14, 2021",Aceh,0.529021123,5.483703255,10.231,"10,231",987
"June 8, 2021",Aceh,0.802911492,3.441049252,6.42,"6,420","1,498"
"June 7, 2021",Aceh,0.973891977,2.638137760,4.922,"4,922","1,817"
"April 15, 2021",Bali,0,22.815621075,19.075,"19,075",0
"April 24, 2021",Bali,0,27.859577776,23.292,"23,292",0
"April 25, 2021",Bali,0,27.859577776,23.292,"23,292",0
"May 14, 2021",Bali,0,31.661981939,26.471,"26,471",0
"March 15, 2021",Bali,0.001196101,2.595538544,2.17,"2,170",1
"May 26, 2021",Bali,0.001196101,32.794689313,27.418,"27,418",1
"June 6, 2021",Bali,0.001196101,33.140362419,27.707,"27,707",1
"February 26, 2021",Bali,0.002392201,0.002392201,0.002,2,2
"March 1, 2021",Bali,0.002392201,0.015549309,0.013,13,2
"April 13, 2021",Bali,0.002392201,22.815621075,19.075,"19,075",2
"May 30, 2021",Bali,0.002392201,32.920279888,27.523,"27,523",2
"June 1, 2021",Bali,0.002392201,32.969320017,27.564,"27,564",2
"June 20, 2021",Bali,0.002392201,33.718079062,28.19,"28,190",2
"July 18, 2021",Bali,0.002392201,35.137850607,29.377,"29,377",2
"March 13, 2021",Bali,0.003588302,2.594342444,2.169,"2,169",3
"May 2, 2021",Bali,0.003588302,29.599904312,24.747,"24,747",3
"May 13, 2021",Bali,0.003588302,31.661981939,26.471,"26,471",3
"February 28, 2021",Bali,0.004784403,0.013157108,0.011,11,4
"March 2, 2021",Bali,0.004784403,0.020333712,0.017,17,4
"February 27, 2021",Bali,0.005980504,0.008372705,0.007,7,5
"March 3, 2021",Bali,0.005980504,0.026314216,0.022,22,5
"March 7, 2021",Bali,0.005980504,0.531068716,0.444,444,5
"June 27, 2021",Bali,0.007176604,33.915435680,28.355,"28,355",6
"May 9, 2021",Bali,0.009568806,31.016087555,25.931,"25,931",8
"July 4, 2021",Bali,0.009568806,34.259912685,28.643,"28,643",8
"July 11, 2021",Bali,0.009568806,34.744333473,29.048,"29,048",8
"April 11, 2021",Bali,0.011961007,21.864721010,18.28,"18,280",10
"April 23, 2021",Bali,0.014353209,27.859577776,23.292,"23,292",12
"June 24, 2021",Bali,0.015549309,33.826924227,28.281,"28,281",13
"June 23, 2021",Bali,0.016745410,33.811374918,28.268,"28,268",14
"March 21, 2021",Bali,0.017941511,4.877698702,4.078,"4,078",15
"April 18, 2021",Bali,0.017941511,23.811972968,19.908,"19,908",15
"July 29, 2021",Bali,0.019137611,35.488308116,29.67,"29,670",16
"May 1, 2021",Bali,0.020333712,29.596316010,24.744,"24,744",17
"May 16, 2021",Bali,0.021529813,31.782788111,26.572,"26,572",18
"June 10, 2021",Bali,0.021529813,33.307816518,27.847,"27,847",18
"March 28, 2021",Bali,0.023922014,10.772083009,9.006,"9,006",20
"May 23, 2021",Bali,0.023922014,32.701393457,27.34,"27,340",20
"June 13, 2021",Bali,0.023922014,33.411877280,27.934,"27,934",20
"July 27, 2021",Bali,0.023922014,35.436875785,29.627,"29,627",20
"April 4, 2021",Bali,0.025118115,14.927336882,12.48,"12,480",21
"June 3, 2021",Bali,0.025118115,33.048262664,27.63,"27,630",21
"June 16, 2021",Bali,0.026314216,33.547036660,28.047,"28,047",22
"July 26, 2021",Bali,0.026314216,35.412953771,29.607,"29,607",22
"June 22, 2021",Bali,0.027510316,33.794629508,28.254,"28,254",23
"June 29, 2021",Bali,0.027510316,33.999162730,28.425,"28,425",23
"June 26, 2021",Bali,0.028706417,33.908259075,28.349,"28,349",24
"March 4, 2021",Bali,0.031098619,0.057412834,0.048,48,26
"July 28, 2021",Bali,0.032294719,35.469170504,29.654,"29,654",27
"May 28, 2021",Bali,0.035883021,32.880808564,27.49,"27,490",30
"July 24, 2021",Bali,0.035883021,35.386639555,29.585,"29,585",30
"May 29, 2021",Bali,0.037079122,32.917887686,27.521,"27,521",31
"June 8, 2021",Bali,0.037079122,33.227677770,27.78,"27,780",31
"June 12, 2021",Bali,0.039471323,33.387955266,27.914,"27,914",33
"June 11, 2021",Bali,0.040667424,33.348483942,27.881,"27,881",34
"June 30, 2021",Bali,0.041863525,34.041026254,28.46,"28,460",35
"July 23, 2021",Bali,0.041863525,35.350756534,29.555,"29,555",35
"June 4, 2021",Bali,0.043059626,33.091322289,27.666,"27,666",36
"June 18, 2021",Bali,0.043059626,33.659470127,28.141,"28,141",36
"July 21, 2021",Bali,0.044255726,35.247891872,29.469,"29,469",37
"May 25, 2021",Bali,0.045451827,32.793493212,27.417,"27,417",38
"May 24, 2021",Bali,0.046647928,32.748041385,27.379,"27,379",39
"May 31, 2021",Bali,0.046647928,32.966927815,27.562,"27,562",39
"June 5, 2021",Bali,0.047844028,33.139166318,27.706,"27,706",40
"March 11, 2021",Bali,0.049040129,2.118294360,1.771,"1,771",41
"June 21, 2021",Bali,0.049040129,33.767119191,28.231,"28,231",41
"May 27, 2021",Bali,0.050236230,32.844925543,27.46,"27,460",42
"June 7, 2021",Bali,0.050236230,33.190598648,27.749,"27,749",42
"June 25, 2021",Bali,0.052628431,33.879552658,28.325,"28,325",44
"June 2, 2021",Bali,0.053824532,33.023144549,27.609,"27,609",45
"June 15, 2021",Bali,0.053824532,33.520722445,28.025,"28,025",45
"July 12, 2021",Bali,0.053824532,34.798158005,29.093,"29,093",45
"June 14, 2021",Bali,0.055020633,33.466897913,27.98,"27,980",46
"June 19, 2021",Bali,0.056216733,33.715686861,28.188,"28,188",47
"June 28, 2021",Bali,0.056216733,33.971652413,28.402,"28,402",47
"June 9, 2021",Bali,0.058608935,33.286286705,27.829,"27,829",49
"July 13, 2021",Bali,0.058608935,34.856766940,29.142,"29,142",49
"July 15, 2021",Bali,0.061001136,34.996710723,29.259,"29,259",51
"July 22, 2021",Bali,0.061001136,35.308893009,29.52,"29,520",51
"July 6, 2021",Bali,0.063393338,34.403444770,28.763,"28,763",53
"July 16, 2021",Bali,0.063393338,35.060104061,29.312,"29,312",53
"May 21, 2021",Bali,0.065785539,32.599724897,27.255,"27,255",55
"July 3, 2021",Bali,0.065785539,34.250343879,28.635,"28,635",55
"July 10, 2021",Bali,0.065785539,34.734764667,29.04,"29,040",55
"July 19, 2021",Bali,0.065785539,35.203636146,29.432,"29,432",55
"July 1, 2021",Bali,0.068177741,34.109203995,28.517,"28,517",57
"June 17, 2021",Bali,0.069373841,33.616410502,28.105,"28,105",58
"July 2, 2021",Bali,0.075354345,34.184558340,28.58,"28,580",63
"July 17, 2021",Bali,0.075354345,35.135458406,29.375,"29,375",63
"May 20, 2021",Bali,0.077746546,32.533939358,27.2,"27,200",65
"May 22, 2021",Bali,0.077746546,32.677471443,27.32,"27,320",65
