Kabupaten (group),Provinsi,pencapaian vaksin,Geo_Kab,Dosis Vaksin,Latitude (generated),Longitude (generated),Dosis Vaksin,Peserta Vaksinasi,Target
Batang Hari,Jambi,29.342546082,Polygon,Divaksin 1,-1.736183939,103.184542959,"67,352","229,537","2,686,193"
Batu,Jawa Timur,24.222103655,Polygon,Divaksin 1,-7.832437403,112.535914694,"39,950","164,932","31,826,206"
Batu Bara,Sumatera Utara,20.639902865,Polygon,Divaksin 1,3.232526555,99.434601764,"63,916","309,672","11,419,559"
Bau-Bau,Sulawesi Tenggara,22.104904349,MultiPolygon,Divaksin 1,-5.430083339,122.657819125,"26,588","120,281","2,002,579"
Bekasi,Jawa Barat,16.222901349,MultiPolygon,Divaksin 1,-6.260564419,107.037067777,"719,291","4,433,800","37,907,814"
Belitung,Bangka Belitung,19.197986346,MultiPolygon,Divaksin 1,-2.883129968,107.562763874,"27,839","145,010","1,137,824"
Belitung Timur,Bangka Belitung,15.241191234,MultiPolygon,Divaksin 1,-2.920657173,108.218978491,"15,425","101,206","1,137,824"
Belu,Nusa Tenggara Timur,15.694943701,MultiPolygon,Divaksin 1,-9.277678524,124.919583415,"25,062","159,682","3,831,439"
Bener Meriah,Aceh,22.629674505,Polygon,Divaksin 1,4.769499035,96.906380577,"27,455","121,323","4,028,891"
Bengkalis,Riau,13.451473912,MultiPolygon,Divaksin 1,1.478791523,102.008951294,"56,725","421,701","4,840,347"
Bengkayang,Kalimantan Barat,10.311763577,MultiPolygon,Divaksin 1,0.989624209,109.353234005,"20,960","203,263","3,872,477"
Bengkulu,Bengkulu,31.592300230,Polygon,Divaksin 1,-3.839984362,102.302472296,"90,529","286,554","1,553,792"
Bengkulu Selatan,Bengkulu,12.639793346,Polygon,Divaksin 1,-4.307712766,103.040988884,"16,343","129,298","1,553,792"
Bengkulu Tengah,Bengkulu,21.488312963,Polygon,Divaksin 1,-3.688873526,102.439787227,"19,269","89,672","1,553,792"
Bengkulu Utara,Bengkulu,10.108029120,MultiPolygon,Divaksin 1,-3.336109636,102.008906496,"22,896","226,513","1,553,792"
Berau,Kalimantan Timur,17.410445735,MultiPolygon,Divaksin 1,1.858784753,118.142728701,"32,705","187,847","2,874,401"
Biak Numfor,Papua,34.314780137,MultiPolygon,Divaksin 1,-1.086224129,135.906974326,"25,838","75,297","2,583,771"
Bima,Nusa Tenggara Barat,11.168889396,MultiPolygon,Divaksin 1,-8.530482050,118.824909045,"55,801","499,611","3,910,638"
Bintan,Kepulauan Riau,64.678758069,MultiPolygon,Divaksin 1,0.913800428,105.339659055,"79,952","123,614","1,581,035"
Bireuen,Aceh,13.485447273,Polygon,Divaksin 1,5.158730453,96.675590204,"44,906","332,996","4,028,891"
Bitung,Sulawesi Utara,32.203669652,MultiPolygon,Divaksin 1,1.460483674,125.216601483,"56,568","175,657","2,080,685"
Blitar,Jawa Timur,33.306404414,MultiPolygon,Divaksin 1,-8.159917659,112.216067691,"359,092","1,078,147","31,826,206"
Blora,Jawa Tengah,14.829454840,Polygon,Divaksin 1,-7.078954792,111.398772285,"106,096","715,441","28,727,805"
Boalemo,Gorontalo,23.974115483,MultiPolygon,Divaksin 1,0.566729327,122.360244218,"27,897","116,363","811,338"
Bogor,Jawa Barat,14.628489872,MultiPolygon,Divaksin 1,-6.497620389,106.798546875,"736,738","5,036,323","37,907,814"
Bojonegoro,Jawa Timur,16.147642045,Polygon,Divaksin 1,-7.222151030,111.817549326,"165,674","1,025,995","31,826,206"
Bolaang Mongondow,Sulawesi Utara,12.013878552,MultiPolygon,Divaksin 1,0.790587737,124.004911403,"23,407","194,833","2,080,685"
Bolaang Mongondow Selatan,Sulawesi Utara,15.465034500,MultiPolygon,Divaksin 1,0.400478334,124.028317412,"8,136","52,609","2,080,685"
Bolaang Mongondow Timur,Sulawesi Utara,16.911596196,MultiPolygon,Divaksin 1,0.668408148,124.558114589,"11,807","69,816","2,080,685"
Bolaang Mongondow Utara,Sulawesi Utara,29.856182880,MultiPolygon,Divaksin 1,0.855702119,123.367136469,"19,016","63,692","2,080,685"
Bombana,Sulawesi Tenggara,21.855617870,MultiPolygon,Divaksin 1,-4.854101623,121.828309587,"25,019","114,474","2,002,579"
Bondowoso,Jawa Timur,12.625884040,Polygon,Divaksin 1,-7.947625055,113.927667335,"77,480","613,660","31,826,206"
Bone,Sulawesi Selatan,13.609519640,MultiPolygon,Divaksin 1,-4.725620233,120.142618193,"86,418","634,982","7,058,141"
Bone Bolango,Gorontalo,22.578258658,Polygon,Divaksin 1,0.512830654,123.228216604,"29,298","129,762","938,409"
Bontang,Kalimantan Timur,28.546180922,MultiPolygon,Divaksin 1,0.119280504,117.488401522,"38,442","134,666","2,874,401"
Boven Digoel,Papua,21.262011531,Polygon,Divaksin 1,-6.319441120,140.687023495,"6,638","31,220","2,583,771"
Boyolali,Jawa Tengah,14.123588730,Polygon,Divaksin 1,-7.376459911,110.675578155,"118,041","835,772","28,727,805"
Brebes,Jawa Tengah,10.440804931,Polygon,Divaksin 1,-7.042590391,108.939947155,"160,509","1,537,324","28,727,805"
Bukittinggi,Sumatera Barat,28.216808057,Polygon,Divaksin 1,-0.295903475,100.357595460,"27,008","95,716","4,408,509"
Buleleng,Bali,75.294507777,MultiPolygon,Divaksin 1,-8.190452560,114.923718536,"463,196","615,179","3,405,130"
Bulukumba,Sulawesi Selatan,13.354231613,MultiPolygon,Divaksin 1,-5.424504588,120.235472189,"46,307","346,759","7,058,141"
Bulungan,Kalimantan Timur,,MultiPolygon,Divaksin 1,2.981340187,117.423055469,,,
Bungo,Jambi,15.096858648,Polygon,Divaksin 1,-1.580623084,101.874331876,"40,595","268,897","2,686,193"
Buol,Sulawesi Tengah,21.912869607,MultiPolygon,Divaksin 1,1.008467259,121.492332417,"21,699","99,024","2,135,907"
Buru,Maluku,7.210828063,Polygon,Divaksin 1,-3.150161562,126.832919493,"7,320","101,514","1,417,690"
Buru Selatan,Maluku,6.941093231,MultiPolygon,Divaksin 1,-3.616936282,126.469988781,"3,826","55,121","1,201,800"
Buton,Sulawesi Tenggara,12.708081956,MultiPolygon,Divaksin 1,-5.413628674,122.620274427,"10,848","85,363","1,706,169"
Buton Utara,Sulawesi Tenggara,12.909275923,MultiPolygon,Divaksin 1,-4.679298496,123.097800844,"6,470","50,119","1,706,169"
Ciamis,Jawa Barat,10.601506170,Polygon,Divaksin 1,-7.423473918,108.445952359,"105,806","998,028","37,907,814"
Cianjur,Jawa Barat,8.670168311,Polygon,Divaksin 1,-7.024240609,107.159284972,"166,191","1,916,814","37,907,814"
Cilacap,Jawa Tengah,10.846284492,MultiPolygon,Divaksin 1,-7.511438081,108.909403111,"166,232","1,532,617","28,727,805"
Cilegon,Banten,17.696458705,MultiPolygon,Divaksin 1,-6.002519656,106.009387745,"58,307","329,484","9,229,383"
Cimahi,Jawa Barat,34.184032411,Polygon,Divaksin 1,-6.890683366,107.545758099,"155,001","453,431","37,907,814"
