Kab/kota,Provinsi,Achievement % Vaksin2,Divaksin 2
Kab. Adm. Kep. Seribu,Jakarta Raya,0.09%,"7,617"
Kota Adm. Jakarta Barat,Jakarta Raya,5.06%,"424,985"
Kota Adm. Jakarta Pusat,Jakarta Raya,6.04%,"507,296"
Kota Adm. Jakarta Selatan,Jakarta Raya,7.58%,"636,013"
Kota Adm. Jakarta Timur,Jakarta Raya,4.69%,"393,966"
Kota Adm. Jakarta Utara,Jakarta Raya,3.36%,"282,174"
