Persentase_total_vaksin1_pendidik,Persentase_total_vaksin2_pendidik,Divaksin 1,Divaksin 2,TARGET pendidik
,31.039338747,,"1,756,690","5,659,560"
39.462219678,,"2,233,388",,"5,659,560"
